stno,yyyymmdd,TX01,PP01,GR01,wind,,
466920,19860101,10.1,50.1,0.09,1.245833333,,
466920,19860102,13.6,0.5,7.79,3.604166667,,
466920,19860103,15.5,3.6,2.82,2.283333333,,
466920,19860104,12.1,0.5,0,2.933333333,,
466920,19860105,8.8,0,10.02,3.054166667,,
466920,19860106,11.1,0,12.41,3.625,,
466920,19860107,12.9,0,12.5,1.333333333,,
466920,19860108,11.9,0,12.5,2.7,,
466920,19860109,13.7,0,14.08,3.683333333,,
466920,19860110,15.7,0,10.53,4.425,,
466920,19860111,16.6,0,9.46,4.5625,,
466920,19860112,18,0,13.05,3.729166667,,
466920,19860113,15.1,0.4,3.34,3.470833333,,
466920,19860114,16.6,0,11.9,4.4125,,
466920,19860115,16.3,0.3,9.07,2.129166667,,
466920,19860116,16.4,0,13.91,4.229166667,,
466920,19860117,18.4,0,12.63,1.795833333,,
466920,19860118,18.8,0,11.98,1.291666667,,
466920,19860119,17,0,2.57,3.5875,,
466920,19860120,17.8,0,6.16,2.308333333,,
466920,19860121,16.1,-9998,5.95,3.375,,
466920,19860122,12,0.5,0.17,3.370833333,,
466920,19860123,12.3,0.3,0.77,3.395833333,,
466920,19860124,15,0,5.82,5.154166667,,
466920,19860125,15.1,4.5,0.56,1.966666667,,
466920,19860126,13.3,3.8,0.81,1.829166667,,
466920,19860127,12.6,1.9,1.03,3.6125,,
466920,19860128,15.3,0,11.13,4.195833333,,
466920,19860129,18.4,0,12.75,1.408333333,,
466920,19860130,18.7,-9998,9.46,1.4375,,
466920,19860131,16.5,1.3,0.6,3.154166667,,
466920,19860201,16.8,0.5,11.56,3.579166667,,
466920,19860202,17.5,0.2,6.03,1.6625,,
466920,19860203,15.4,-9998,3.81,4.425,,
466920,19860204,13.1,15.1,0.51,3.633333333,,
466920,19860205,16.2,6.9,5.01,2.275,,
466920,19860206,12.7,10.4,1.03,2.679166667,,
466920,19860207,11.2,3.5,0.98,2.3625,,
466920,19860208,11.9,0.5,8.99,2.929166667,,
466920,19860209,14.2,3.9,8.95,3.716666667,,
466920,19860210,12.2,8.4,0.86,0.695833333,,
466920,19860211,13.2,0,15.19,2.65,,
466920,19860212,16.1,0,17.03,3.7375,,
466920,19860213,17.2,0,14.42,1.554166667,,
466920,19860214,17.8,4,9.76,1.7375,,
466920,19860215,14.2,19.1,0.81,3.5,,
466920,19860216,15.9,0,4.19,3.783333333,,
466920,19860217,16.8,27.1,2.4,1.0625,,
466920,19860218,14.8,3.1,1.28,2.8,,
466920,19860219,14.3,6.5,2.82,3.983333333,,
466920,19860220,13.1,1.3,0.73,3.4125,,
466920,19860221,10.7,1.1,0.73,2.270833333,,
466920,19860222,11.6,0,11.47,2.6375,,
466920,19860223,13.6,0.1,2.31,2.525,,
466920,19860224,13.6,3.3,2.01,2.854166667,,
466920,19860225,14.1,0.4,2.18,4.083333333,,
466920,19860226,14,9.4,1.46,3.041666667,,
466920,19860227,11.3,21.6,0.21,2.9,,
466920,19860228,9.3,18.6,0.47,2.704166667,,
466920,19860301,8.6,27.6,0.6,1.466666667,,
466920,19860302,7.9,1.5,11.86,2.416666667,,
466920,19860303,10.1,0,19.22,2.641666667,,
466920,19860304,14.1,0,17.8,2.895833333,,
466920,19860305,16.9,0,18.23,3.566666667,,
466920,19860306,18.4,0,20.03,4.729166667,,
466920,19860307,19.2,0,16.99,5.3,,
466920,19860308,20.4,0,19.13,3.6375,,
466920,19860309,20.3,0,16.48,1.441666667,,
466920,19860310,18.5,0,14.42,1.616666667,,
466920,19860311,16.3,5.2,8.99,3.275,,
466920,19860312,20.4,0,11.94,2.133333333,,
466920,19860313,21.7,0,9.07,1.395833333,,
466920,19860314,22.3,16.9,4.79,1.8625,,
466920,19860315,20.6,2.7,1.8,1.425,,
466920,19860316,16.6,56.5,1.58,3.525,,
466920,19860317,17.5,10.8,5.18,3.895833333,,
466920,19860318,18.5,54.1,4.15,1.65,,
466920,19860319,15.1,11.1,3.77,6.383333333,,
466920,19860320,18.2,14.8,1.97,2.345833333,,
466920,19860321,17.1,8.5,1.71,1.6375,,
466920,19860322,13.8,21.6,1.28,1.3,,
466920,19860323,13.5,0,1.8,3.995833333,,
466920,19860324,14.9,1.5,5.05,4.354166667,,
466920,19860325,18.6,16.2,10.27,2.995833333,,
466920,19860326,17.6,5.3,2.48,1.995833333,,
466920,19860327,19.8,1.2,17.76,1.408333333,,
466920,19860328,19,55.2,2.05,1.275,,
466920,19860329,20.4,0,14.04,2.491666667,,
466920,19860330,19.8,19.6,13.95,2.3625,,
466920,19860331,15.1,2.3,4.75,4.283333333,,
466920,19860401,16.7,1.6,2.87,4.891666667,,
466920,19860402,18.8,0,7.75,1.145833333,,
466920,19860403,22.3,0,8.99,0.775,,
466920,19860404,20.9,-9998,6.33,3.029166667,,
466920,19860405,19.5,0,14.72,6.179166667,,
466920,19860406,19.5,-9998,8.26,6.391666667,,
466920,19860407,21.1,0,4.28,4.954166667,,
466920,19860408,23.7,0,14.85,1.495833333,,
466920,19860409,24.2,0,10.49,0.970833333,,
466920,19860410,25.6,8.5,14.64,0.829166667,,
466920,19860411,19.5,6.5,3.98,4.375,,
466920,19860412,20,0,18.7,5.716666667,,
466920,19860413,23.2,0,17.03,1.254166667,,
466920,19860414,25.1,0,13.74,1.404166667,,
466920,19860415,21.1,54,3.21,3.804166667,,
466920,19860416,18.5,0,9.84,6.295833333,,
466920,19860417,22.1,0,8.6,1.375,,
466920,19860418,25.5,0,16.44,2.029166667,,
466920,19860419,25.4,1,10.74,1.6375,,
466920,19860420,21.5,15.5,4.92,2.929166667,,
466920,19860421,18.7,0.5,5.65,4.325,,
466920,19860422,18.8,4.1,4.11,2.254166667,,
466920,19860423,20.9,1,4.67,2.254166667,,
466920,19860424,23.4,15.5,7.53,0.595833333,,
466920,19860425,25.8,-9998,14.98,1.041666667,,
466920,19860426,27.1,0,18.53,1.3,,
466920,19860427,27.3,0,20.84,1.9875,,
466920,19860428,23,0,8.47,4.2125,,
466920,19860429,21.9,-9998,21.66,5.9875,,
466920,19860430,24.6,1,15.11,2.320833333,,
466920,19860501,26.2,0,23.54,2.054166667,,
466920,19860502,27,0,17.42,1.720833333,,
466920,19860503,24.7,2.1,7.58,2.295833333,,
466920,19860504,22,0,14.3,4.333333333,,
466920,19860505,23.4,0,24.61,3.733333333,,
466920,19860506,22.9,-9998,9.8,4.295833333,,
466920,19860507,23.6,0.7,7.79,2.233333333,,
