Date,Temperature,Precipitation,Sunshine,Wind
2019/3/1,22.8,0,19.79,3.417
2019/3/2,22.8,0,18.67,6.338
2019/3/3,24.9,35.4,17.8,4.954
2019/3/4,23.0,0,13.58,4.546
2019/3/5,22.3,62.3,14.8,4.208
2019/3/6,21.3,34.3,16.88,3.838
2019/3/7,22.2,17.5,14.34,3.696
2019/3/8,23.1,35.5,17.35,3.483
2019/3/9,23.0,0,15.35,4.45
2019/3/10,21.4,0,15.73,5.554
2019/3/11,22.5,0,18.1,4.125
2019/3/12,23.3,27.7,18.23,5.621
2019/3/13,22.5,20.5,25.43,5.033
2019/3/14,22.2,0,19.21,4.471
2019/3/15,22.7,26.0,13.4,3.871
2019/3/16,22.7,0,16.7,4.025
2019/3/17,25.2,37.7,17.19,4.188
2019/3/18,22.4,0,22.46,4.083
2019/3/19,26.2,16.0,16.02,3.575
2019/3/20,21.4,0,13.66,4.929
2019/3/21,22.2,15.5,17.8,6.338
2019/3/22,20.9,0,19.69,5.638
2019/3/23,22.5,28.1,21.04,4.379
2019/3/24,21.8,20.5,17.93,5.733
2019/3/25,22.7,0,13.5,3.529
2019/3/26,22.5,21.2,17.37,3.858
2019/3/27,24.0,43.3,13.36,3.738
2019/3/28,23.1,0,17.25,5.092
2019/3/29,25.1,45.0,14.42,4.071
2019/3/30,21.4,0,15.0,4.921
2019/3/31,23.3,26.1,16.78,3.979
2019/4/1,23.3,2.4,13.03,3.054
2019/4/2,22.3,2.8,15.11,2.117
2019/4/3,20.8,3.0,6.93,2.575
2019/4/4,22.1,4.6,15.24,2.767
2019/4/5,22.2,0,9.27,2.767
2019/4/6,20.7,9.3,8.21,3.675
2019/4/7,21.2,8.0,10.89,3.221
2019/4/8,23.6,4.3,7.66,3.467
2019/4/9,23.7,5.0,15.4,1.554
2019/4/10,22.9,0,15.68,2.492
2019/4/11,23.7,0,10.03,2.492
2019/4/12,21.7,10.5,8.5,1.988
2019/4/13,21.4,0,16.34,2.6
2019/4/14,20.6,0,15.06,1.6
2019/4/15,22.2,0,11.11,3.625
2019/4/16,21.2,5.7,7.0,3.117
2019/4/17,23.9,0,5.48,3.292
2019/4/18,23.5,0,14.71,3.046
2019/4/19,21.7,5.3,11.77,2.979
2019/4/20,21.6,3.6,6.64,3.75
2019/4/21,23.9,13.2,15.93,3.571
2019/4/22,23.3,17.0,9.58,2.729
2019/4/23,23.9,7.0,9.16,2.729
2019/4/24,24.3,4.7,7.73,2.979
2019/4/25,23.1,0,15.93,2.721
2019/4/26,21.1,7.5,6.37,3.046
2019/4/27,23.5,2.0,9.2,1.629
2019/4/28,21.1,4.6,7.43,1.604
2019/4/29,20.9,4.1,7.96,2.0
2019/4/30,23.7,0,11.7,3.446
2019/5/1,24.3,2.2,16.72,1.546
2019/5/2,24.9,0,5.54,2.9
2019/5/3,24.2,2.1,9.66,2.733
2019/5/4,24.7,7.0,10.24,1.404
2019/5/5,26.2,6.3,8.15,1.717
2019/5/6,27.1,0,14.01,1.433
2019/5/7,25.7,4.0,6.61,2.592
2019/5/8,27.2,0,7.29,3.096
2019/5/9,24.1,4.0,16.6,1.667
2019/5/10,24.6,0,8.39,2.596
2019/5/11,23.9,7.5,15.44,2.067
2019/5/12,25.5,1.5,6.67,1.642
2019/5/13,26.8,1.1,15.44,1.433
2019/5/14,25.0,2.8,14.7,3.463
2019/5/15,25.5,1.5,7.0,3.021
2019/5/16,27.7,17.0,16.88,2.467
2019/5/17,25.6,10.8,17.51,2.763
2019/5/18,25.5,0,15.87,2.863
2019/5/19,27.1,0,11.32,2.55
2019/5/20,24.6,3.0,17.2,1.958
2019/5/21,24.7,6.3,9.97,1.704
2019/5/22,26.3,0,17.22,3.625
2019/5/23,27.0,0,15.46,2.146
2019/5/24,25.2,0,6.2,3.413
2019/5/25,27.6,0,15.46,1.675
2019/5/26,27.4,8.0,11.27,2.404
2019/5/27,23.6,1.9,7.3,1.629
2019/5/28,26.4,9.0,7.0,1.975
2019/5/29,26.9,0,16.88,2.775
2019/5/30,23.8,9.0,7.94,2.433
2019/5/31,24.6,0,8.27,2.779
