¬Ó®cµæ,T1,T2,T3,T4,Pmax(mm/day),Pmin,Smax,Smin,Wmax(m/s),Wmin
1,22,25,30,30,200,0,12,0,4,0
2,22,25,30,30,200,0,12,0,4,0
3,22,25,30,30,200,0,12,0,4,0
4,22,25,30,30,200,0,12,0,4,0
5,22,25,30,30,200,0,12,0,4,0
6,22,25,30,30,200,0,12,0,4,0
7,22,25,30,30,200,0,12,0,4,0
8,22,25,30,30,200,0,12,0,4,0
9,22,25,30,30,200,0,12,0,4,0
10,22,25,30,30,200,0,12,0,4,0
11,22,25,30,30,200,0,12,0,4,0
12,22,25,30,30,200,0,12,0,4,0
13,22,25,30,30,200,0,12,0,4,0
14,22,25,30,30,200,0,12,0,4,0
15,22,25,30,30,200,0,12,0,4,0
16,22,25,30,30,200,0,12,0,4,0
17,22,25,30,30,200,0,12,0,4,0
18,22,25,30,30,200,0,12,0,4,0
19,22,25,30,30,200,0,12,0,4,0
20,22,25,30,30,200,0,12,0,4,0
21,22,25,30,30,200,0,12,0,4,0
22,22,25,30,30,200,0,12,0,4,0
23,22,25,30,30,200,0,12,0,4,0
24,22,25,30,30,200,0,12,0,4,0
25,22,25,30,30,200,0,12,0,4,0
26,22,25,30,30,200,0,12,0,4,0
27,22,25,30,30,200,0,12,0,4,0
28,22,25,30,30,200,0,12,0,4,0
29,22,25,30,30,200,0,12,0,4,0
30,22,25,30,30,200,0,12,0,4,0
31,22,25,30,30,200,0,12,0,4,0
32,22,25,30,30,200,0,12,0,4,0
33,22,25,30,30,200,0,12,0,4,0
34,22,25,30,30,200,0,12,0,4,0
35,22,25,30,30,200,0,12,0,4,0
