µ²²y¸±­U,T1,T2,T3,T4,Pmax(mm/day),Pmin,Smax,Smin,Wmax(m/s),Wmin
1,6,15,20,25,200,0,14,0,4,0
2,6,15,20,25,200,0,14,0,4,0
3,6,10,18,28,200,0,14,0,4,0
4,6,10,18,28,200,0,14,0,4,0
5,5,10,18,28,200,0,14,0,4,0
6,5,10,18,28,200,0,14,0,4,0
7,5,10,18,28,200,0,14,0,4,0
8,5,10,18,28,200,0,14,0,4,0
9,5,10,18,28,200,0,14,0,4,0
10,5,10,18,28,200,0,14,0,4,0
11,5,10,18,28,200,0,14,0,4,0
12,5,10,18,28,200,0,14,0,4,0
13,5,10,18,28,200,0,14,0,4,0
14,5,10,18,28,200,0,14,0,4,0
15,5,10,18,28,200,0,14,0,4,0
16,5,10,18,28,200,0,14,0,4,0
17,5,10,18,28,200,0,14,0,4,0
18,5,10,18,28,200,0,14,0,4,0
19,5,10,18,28,200,0,14,0,4,0
20,5,10,18,28,200,0,14,0,4,0
21,5,10,18,28,200,0,14,0,4,0
22,5,10,18,28,200,0,14,0,4,0
23,5,10,18,28,200,0,14,0,4,0
24,5,10,18,28,200,0,14,0,4,0
25,5,10,18,28,200,0,14,0,4,0
26,5,10,18,28,200,0,14,0,4,0
27,5,10,18,28,200,0,14,0,4,0
28,5,10,18,28,200,0,14,0,4,0
29,5,10,18,28,200,0,14,0,4,0
30,5,10,18,28,200,0,14,0,4,0
31,5,10,18,28,200,0,14,0,4,0
32,5,10,18,28,200,0,14,0,4,0
33,5,10,18,28,200,0,14,0,4,0
34,5,10,18,28,200,0,14,0,4,0
35,5,10,18,28,200,0,14,0,4,0
36,5,10,18,28,200,0,14,0,4,0
37,5,10,18,28,200,0,14,0,4,0
38,5,10,18,28,200,0,14,0,4,0
39,5,10,18,28,200,0,14,0,4,0
40,5,10,18,28,200,0,14,0,4,0
41,5,10,18,28,200,0,14,0,4,0
42,5,10,18,28,200,0,14,0,4,0
43,5,10,18,28,200,0,14,0,4,0
44,5,10,18,28,200,0,14,0,4,0
45,5,10,18,28,200,0,14,0,4,0
46,5,10,18,28,200,0,14,0,4,0
47,5,10,18,28,200,0,14,0,4,0
48,5,10,18,28,200,0,14,0,4,0
49,5,10,18,28,200,0,14,0,4,0
50,5,10,18,28,200,0,14,0,4,0
51,5,10,18,28,200,0,14,0,4,0
52,5,10,18,28,200,0,14,0,4,0
53,5,10,18,28,200,0,14,0,4,0
54,5,10,18,28,200,0,14,0,4,0
55,5,10,18,28,200,0,14,0,4,0
56,5,10,18,28,200,0,14,0,4,0
57,5,10,18,28,200,0,14,0,4,0
58,5,10,18,28,200,0,14,0,4,0
59,5,10,18,28,200,0,14,0,4,0
60,5,10,18,28,200,0,14,0,4,0
61,5,10,18,28,200,0,14,0,4,0
62,5,10,18,28,200,0,14,0,4,0
63,5,10,18,28,200,0,14,0,4,0
64,5,10,18,28,200,0,14,0,4,0
65,5,10,18,28,200,0,14,0,4,0
66,5,10,18,28,200,0,14,0,4,0
67,5,10,18,28,200,0,14,0,4,0
68,5,10,18,28,200,0,14,0,4,0
69,5,10,18,28,200,0,14,0,4,0
70,5,10,18,28,200,0,14,0,4,0
