³Aµæ,T1,T2,T3,T4,Pmax(mm/day),Pmin,Smax,Smin,Wmax(m/s),Wmin
1,10,25,28,38,350,0,24,11.5,5.5,0
2,10,25,28,38,350,0,24,11.5,5.5,0
3,10,25,28,38,350,0,24,11.5,5.5,0
4,20,25,28,38,350,0,24,11.5,5.5,0
5,20,25,28,38,350,0,24,11.5,5.5,0
6,20,25,28,38,350,0,24,11.5,5.5,0
7,20,25,28,38,350,0,24,11.5,5.5,0
8,20,25,28,38,350,0,24,11.5,5.5,0
9,20,25,28,38,350,0,24,11.5,5.5,0
10,20,25,28,38,350,0,24,11.5,5.5,0
11,20,25,28,38,350,0,24,11.5,5.5,0
12,20,25,28,38,350,0,24,11.5,5.5,0
13,20,25,28,38,350,0,24,11.5,5.5,0
14,20,25,28,38,350,0,24,11.5,5.5,0
15,20,25,28,38,350,0,24,11.5,5.5,0
16,20,25,28,38,350,0,24,11.5,5.5,0
17,20,25,28,38,350,0,24,11.5,5.5,0
18,20,25,28,38,350,0,24,11.5,5.5,0
19,20,25,28,38,350,0,24,11.5,5.5,0
20,20,25,28,38,350,0,24,11.5,5.5,0
