Ó¦»U,T1,T2,T3,T4,Pmax(mm/day),Pmin,Smax,Smin,Wmax(km/h),Wmin
1,12,15,20,29,300,0,24,14,5.5,0
2,12,15,20,29,300,0,24,14,5.5,0
3,12,15,20,29,300,0,24,14,5.5,0
4,12,15,20,29,300,0,24,14,5.5,0
5,12,15,20,29,300,0,24,14,5.5,0
6,12,15,20,29,300,0,24,14,5.5,0
7,12,15,20,29,300,0,24,14,5.5,0
8,12,15,20,29,300,0,24,14,5.5,0
9,12,15,20,29,300,0,24,14,5.5,0
10,12,15,20,29,300,0,24,14,5.5,0
11,12,15,20,29,300,0,24,14,5.5,0
12,12,15,20,29,300,0,24,14,5.5,0
13,12,15,20,29,300,0,24,14,5.5,0
14,12,15,20,29,300,0,24,14,5.5,0
15,12,15,20,29,300,0,24,14,5.5,0
16,12,15,20,29,300,0,24,14,5.5,0
17,12,15,20,29,300,0,24,14,5.5,0
18,12,15,20,29,300,0,24,14,5.5,0
19,12,15,20,29,300,0,24,14,5.5,0
20,12,15,20,29,300,0,24,14,5.5,0
21,12,15,20,29,300,0,24,14,5.5,0
22,12,15,20,29,300,0,24,14,5.5,0
23,12,15,20,29,300,0,24,14,5.5,0
24,12,15,20,29,300,0,24,14,5.5,0
25,12,15,20,29,300,0,24,14,5.5,0
26,12,15,20,29,300,0,24,14,5.5,0
27,12,15,20,29,300,0,24,14,5.5,0
28,12,15,20,29,300,0,24,14,5.5,0
29,12,15,20,29,300,0,24,14,5.5,0
30,12,15,20,29,300,0,24,14,5.5,0
31,12,15,20,29,300,0,24,14,5.5,0
32,12,15,20,29,300,0,24,14,5.5,0
33,12,15,20,29,300,0,24,14,5.5,0
34,12,15,20,29,300,0,24,14,5.5,0
35,12,15,20,29,300,0,24,14,5.5,0
36,12,15,20,29,300,0,24,14,5.5,0
37,12,15,20,29,300,0,24,14,5.5,0
38,12,15,20,29,300,0,24,14,5.5,0
39,12,15,20,29,300,0,24,14,5.5,0
40,12,15,20,29,300,0,24,14,5.5,0
